Measure	ent_type	partial	strict	exact
correct	18	15	15	15
incorrect	1	0	4	4
partial	0	4	0	0
missed	0	0	0	0
spurious	38	38	38	38
possible	19	19	19	19
actual	57	57	57	57
precision	0.316	0.298	0.263	0.263
recall	0.947	0.895	0.789	0.789
f1	0.474	0.447	0.395	0.395
