Measure	ent_type	partial	strict	exact
correct	241	250	224	250
incorrect	30	0	47	21
partial	0	21	0	0
missed	19	19	19	19
spurious	153	153	153	153
possible	290	290	290	290
actual	424	424	424	424
precision	0.568	0.614	0.528	0.59
recall	0.831	0.898	0.772	0.862
f1	0.675	0.73	0.627	0.7
