Measure	ent_type	partial	strict	exact
correct	47	49	47	49
incorrect	2	0	2	0
partial	0	0	0	0
missed	8	8	8	8
spurious	107	107	107	107
possible	57	57	57	57
actual	156	156	156	156
precision	0.301	0.314	0.301	0.314
recall	0.825	0.86	0.825	0.86
f1	0.441	0.46	0.441	0.46
