Measure	ent_type	partial	strict	exact
correct	111	125	106	125
incorrect	23	0	28	9
partial	0	9	0	0
missed	16	16	16	16
spurious	88	88	88	88
possible	150	150	150	150
actual	222	222	222	222
precision	0.5	0.583	0.477	0.563
recall	0.74	0.863	0.707	0.833
f1	0.597	0.696	0.57	0.672
