Measure	ent_type	partial	strict	exact
correct	69	68	68	68
incorrect	0	0	1	1
partial	0	1	0	0
missed	1	1	1	1
spurious	126	126	126	126
possible	70	70	70	70
actual	195	195	195	195
precision	0.354	0.351	0.349	0.349
recall	0.986	0.979	0.971	0.971
f1	0.521	0.517	0.513	0.513
