Measure	ent_type	partial	strict	exact
correct	34	26	25	26
incorrect	3	0	12	11
partial	0	11	0	0
missed	125	125	125	125
spurious	304	304	304	304
possible	162	162	162	162
actual	341	341	341	341
precision	0.1	0.092	0.073	0.076
recall	0.21	0.194	0.154	0.16
f1	0.135	0.125	0.099	0.103
