Measure	ent_type	partial	strict	exact
correct	89	87	87	87
incorrect	1	0	3	3
partial	0	3	0	0
missed	9	9	9	9
spurious	89	89	89	89
possible	99	99	99	99
actual	179	179	179	179
precision	0.497	0.494	0.486	0.486
recall	0.899	0.894	0.879	0.879
f1	0.64	0.637	0.626	0.626
