Measure	ent_type	partial	strict	exact
correct	161	160	154	160
incorrect	11	0	18	12
partial	0	12	0	0
missed	8	8	8	8
spurious	153	153	153	153
possible	180	180	180	180
actual	325	325	325	325
precision	0.495	0.511	0.474	0.492
recall	0.894	0.922	0.856	0.889
f1	0.638	0.657	0.61	0.634
