Measure	ent_type	partial	strict	exact
correct	4	4	4	4
incorrect	0	0	0	0
partial	0	0	0	0
missed	0	0	0	0
spurious	17	17	17	17
possible	4	4	4	4
actual	21	21	21	21
precision	0.19	0.19	0.19	0.19
recall	1.0	1.0	1.0	1.0
f1	0.32	0.32	0.32	0.32
