Measure	ent_type	partial	strict	exact
correct	26	25	24	25
incorrect	1	0	3	2
partial	0	2	0	0
missed	2	2	2	2
spurious	143	143	143	143
possible	29	29	29	29
actual	170	170	170	170
precision	0.153	0.153	0.141	0.147
recall	0.897	0.897	0.828	0.862
f1	0.261	0.261	0.241	0.251
