Measure	ent_type	partial	strict	exact
correct	2	0	0	0
incorrect	1	0	3	3
partial	0	3	0	0
missed	31	31	31	31
spurious	118	118	118	118
possible	34	34	34	34
actual	121	121	121	121
precision	0.017	0.012	0.0	0.0
recall	0.059	0.044	0.0	0.0
f1	0.026	0.019	0	0
