Measure	ent_type	partial	strict	exact
correct	71	69	65	69
incorrect	5	0	11	7
partial	0	7	0	0
missed	11	11	11	11
spurious	105	105	105	105
possible	87	87	87	87
actual	181	181	181	181
precision	0.392	0.401	0.359	0.381
recall	0.816	0.833	0.747	0.793
f1	0.53	0.541	0.485	0.515
