Measure	ent_type	partial	strict	exact
correct	32	31	31	31
incorrect	0	0	1	1
partial	0	1	0	0
missed	2	2	2	2
spurious	28	28	28	28
possible	34	34	34	34
actual	60	60	60	60
precision	0.533	0.525	0.517	0.517
recall	0.941	0.926	0.912	0.912
f1	0.681	0.67	0.66	0.66
