Measure	ent_type	partial	strict	exact
correct	38	40	37	40
incorrect	3	0	4	1
partial	0	1	0	0
missed	0	0	0	0
spurious	34	34	34	34
possible	41	41	41	41
actual	75	75	75	75
precision	0.507	0.54	0.493	0.533
recall	0.927	0.988	0.902	0.976
f1	0.655	0.698	0.638	0.69
