Measure	ent_type	partial	strict	exact
correct	94	91	91	91
incorrect	2	0	5	5
partial	0	5	0	0
missed	24	24	24	24
spurious	94	94	94	94
possible	120	120	120	120
actual	190	190	190	190
precision	0.495	0.492	0.479	0.479
recall	0.783	0.779	0.758	0.758
f1	0.606	0.603	0.587	0.587
