Measure	ent_type	partial	strict	exact
correct	45	37	34	37
incorrect	4	0	15	12
partial	0	12	0	0
missed	5	5	5	5
spurious	134	134	134	134
possible	54	54	54	54
actual	183	183	183	183
precision	0.246	0.235	0.186	0.202
recall	0.833	0.796	0.63	0.685
f1	0.38	0.363	0.287	0.312
