Measure	ent_type	partial	strict	exact
correct	69	75	65	75
incorrect	10	0	14	4
partial	0	4	0	0
missed	6	6	6	6
spurious	121	121	121	121
possible	85	85	85	85
actual	200	200	200	200
precision	0.345	0.385	0.325	0.375
recall	0.812	0.906	0.765	0.882
f1	0.484	0.54	0.456	0.526
