Measure	ent_type	partial	strict	exact
correct	30	28	28	28
incorrect	0	0	2	2
partial	0	2	0	0
missed	1	1	1	1
spurious	75	75	75	75
possible	31	31	31	31
actual	105	105	105	105
precision	0.286	0.276	0.267	0.267
recall	0.968	0.935	0.903	0.903
f1	0.441	0.426	0.412	0.412
