Measure	ent_type	partial	strict	exact
correct	30	22	22	22
incorrect	0	0	8	8
partial	0	8	0	0
missed	0	0	0	0
spurious	18	18	18	18
possible	30	30	30	30
actual	48	48	48	48
precision	0.625	0.542	0.458	0.458
recall	1.0	0.867	0.733	0.733
f1	0.769	0.667	0.564	0.564
