Measure	ent_type	partial	strict	exact
correct	34	29	29	29
incorrect	0	0	5	5
partial	0	5	0	0
missed	0	0	0	0
spurious	152	152	152	152
possible	34	34	34	34
actual	186	186	186	186
precision	0.183	0.169	0.156	0.156
recall	1.0	0.926	0.853	0.853
f1	0.309	0.286	0.264	0.264
