Measure	ent_type	partial	strict	exact
correct	2	2	2	2
incorrect	0	0	0	0
partial	0	0	0	0
missed	0	0	0	0
spurious	17	17	17	17
possible	2	2	2	2
actual	19	19	19	19
precision	0.105	0.105	0.105	0.105
recall	1.0	1.0	1.0	1.0
f1	0.19	0.19	0.19	0.19
