Measure	ent_type	partial	strict	exact
correct	81	66	64	66
incorrect	4	0	21	19
partial	0	19	0	0
missed	6	6	6	6
spurious	81	81	81	81
possible	91	91	91	91
actual	166	166	166	166
precision	0.488	0.455	0.386	0.398
recall	0.89	0.83	0.703	0.725
f1	0.63	0.588	0.498	0.514
