Measure	ent_type	partial	strict	exact
correct	63	62	59	62
incorrect	3	0	7	4
partial	0	4	0	0
missed	5	5	5	5
spurious	96	96	96	96
possible	71	71	71	71
actual	162	162	162	162
precision	0.389	0.395	0.364	0.383
recall	0.887	0.901	0.831	0.873
f1	0.541	0.549	0.506	0.532
