Measure	ent_type	partial	strict	exact
correct	15	11	11	11
incorrect	2	0	6	6
partial	0	6	0	0
missed	37	37	37	37
spurious	95	95	95	95
possible	54	54	54	54
actual	112	112	112	112
precision	0.134	0.125	0.098	0.098
recall	0.278	0.259	0.204	0.204
f1	0.181	0.169	0.133	0.133
