Measure	ent_type	partial	strict	exact
correct	50	47	46	47
incorrect	3	0	7	6
partial	0	6	0	0
missed	7	7	7	7
spurious	95	95	95	95
possible	60	60	60	60
actual	148	148	148	148
precision	0.338	0.338	0.311	0.318
recall	0.833	0.833	0.767	0.783
f1	0.481	0.481	0.442	0.452
