Measure	ent_type	partial	strict	exact
correct	45	48	45	48
incorrect	4	0	4	1
partial	0	1	0	0
missed	4	4	4	4
spurious	42	42	42	42
possible	53	53	53	53
actual	91	91	91	91
precision	0.495	0.533	0.495	0.527
recall	0.849	0.915	0.849	0.906
f1	0.625	0.674	0.625	0.667
