Measure	ent_type	partial	strict	exact
correct	103	104	92	104
incorrect	15	0	26	14
partial	0	14	0	0
missed	7	7	7	7
spurious	109	109	109	109
possible	125	125	125	125
actual	227	227	227	227
precision	0.454	0.489	0.405	0.458
recall	0.824	0.888	0.736	0.832
f1	0.585	0.631	0.523	0.591
