Measure	ent_type	partial	strict	exact
correct	27	25	24	25
incorrect	1	0	4	3
partial	0	3	0	0
missed	1	1	1	1
spurious	39	39	39	39
possible	29	29	29	29
actual	67	67	67	67
precision	0.403	0.396	0.358	0.373
recall	0.931	0.914	0.828	0.862
f1	0.562	0.552	0.5	0.521
