Measure	ent_type	partial	strict	exact
correct	3	3	3	3
incorrect	0	0	0	0
partial	0	0	0	0
missed	0	0	0	0
spurious	52	52	52	52
possible	3	3	3	3
actual	55	55	55	55
precision	0.055	0.055	0.055	0.055
recall	1.0	1.0	1.0	1.0
f1	0.103	0.103	0.103	0.103
