Measure	ent_type	partial	strict	exact
correct	35	34	34	34
incorrect	0	0	1	1
partial	0	1	0	0
missed	3	3	3	3
spurious	67	67	67	67
possible	38	38	38	38
actual	102	102	102	102
precision	0.343	0.338	0.333	0.333
recall	0.921	0.908	0.895	0.895
f1	0.5	0.493	0.486	0.486
