Measure	ent_type	partial	strict	exact
correct	81	77	77	77
incorrect	1	0	5	5
partial	0	5	0	0
missed	1	1	1	1
spurious	33	33	33	33
possible	83	83	83	83
actual	115	115	115	115
precision	0.704	0.691	0.67	0.67
recall	0.976	0.958	0.928	0.928
f1	0.818	0.803	0.778	0.778
