Measure	ent_type	partial	strict	exact
correct	22	23	17	23
incorrect	8	0	13	7
partial	0	7	0	0
missed	151	151	151	151
spurious	212	212	212	212
possible	181	181	181	181
actual	242	242	242	242
precision	0.091	0.11	0.07	0.095
recall	0.122	0.146	0.094	0.127
f1	0.104	0.125	0.08	0.109
