"Measure	ent_type	partial	strict	exact"
"correct	65	58	58	58"
"incorrect	0	0	7	7"
"partial	0	7	0	0"
"missed	7	7	7	7"
"spurious	97	97	97	97"
"possible	72	72	72	72"
"actual	162	162	162	162"
"precision	0.401	0.38	0.358	0.358"
"recall	0.903	0.854	0.806	0.806"
"f1	0.556	0.526	0.496	0.496"
